master_run_number,run_number,current_repeats,total_repeats,var1,var_def,avg_f2,avg_f1,avg_f2bckgd,avg_f1bckgd,fraction,CA_phase,timestamp
15676,1,1,1,25.067800000000002,NOT-SET,160.68783919694488,181.50476597389653,123.39941317266064,144.32536927396467,0.5007320566142786,-2.1171130794536057,18-08-2023 19:42:43
15676,2,1,1,25.0621,NOT-SET,160.74441845608575,186.6311973767646,125.20581828116846,147.04723883785513,0.4730749429116051,-2.12809520140596,18-08-2023 19:42:43
15676,3,1,1,25.0611,NOT-SET,163.91765763238772,182.90997378799133,123.96812317464193,145.62145222327342,0.5172260478193156,-2.1729256189145825,18-08-2023 19:42:44
15676,4,1,1,25.0619,NOT-SET,160.7211009432277,185.34094261502938,123.9763583279926,144.68396176030762,0.47472770589530106,-2.1171819415219852,18-08-2023 19:42:44
15676,5,1,1,25.0655,NOT-SET,157.88150794355653,194.0583852995731,126.36552164125638,148.66042817468795,0.409756474547901,-2.1757372306580653,18-08-2023 19:42:44
15676,6,1,1,25.0645,NOT-SET,156.78044127021462,194.2726930550045,125.24360310242447,147.8140163884396,0.40434168855436503,-2.294535485122934,18-08-2023 19:42:44
15676,7,1,1,25.0695,NOT-SET,164.74097157903796,182.8953927223528,124.9369647453085,146.5484519486068,0.5226987724289599,-2.0427587439030113,18-08-2023 19:42:44
15676,8,1,1,25.0656,NOT-SET,154.0011994802938,188.6630519187665,122.38309836503142,144.3973738822596,0.41666481913118014,-2.2019221037586663,18-08-2023 19:42:44
15676,9,1,1,25.0653,NOT-SET,153.68161239229795,189.04860242181329,123.22405284837001,144.778378398999,0.4075801273662176,-2.2418483797322297,18-08-2023 19:42:44
15676,10,1,1,25.0667,NOT-SET,156.63470681485174,186.86347714333186,123.65664060967264,145.8145771660512,0.44548720426953087,-2.1729226216526087,18-08-2023 19:42:44
15676,11,1,1,25.0652,NOT-SET,154.57727920972835,189.90549434898932,123.24585178370998,145.49413281655325,0.41365558169773653,-2.162601835759421,18-08-2023 19:42:44
15676,12,1,1,25.0709,NOT-SET,160.51604399191703,179.21757323594537,121.6860168549368,142.73363826410719,0.515575413239794,-2.217261947789481,18-08-2023 19:42:44
15676,13,1,1,25.063,NOT-SET,157.39835536095342,188.40364458822054,124.30721772437523,146.20845667897578,0.4395371589285134,-2.153614861705424,18-08-2023 19:42:44
15676,14,1,1,25.0697,NOT-SET,165.19703469817367,181.00290604029124,123.90950825961662,144.2691007721183,0.5291825393823117,-2.1426371619884885,18-08-2023 19:42:44
15676,15,1,1,25.0668,NOT-SET,155.4702027903519,183.41352919434524,121.26602403405286,143.12513351847895,0.45916225901745616,-2.2310771722530824,18-08-2023 19:42:44
15676,16,1,1,25.0686,NOT-SET,165.83689468336703,183.60918674954135,125.31481295786847,146.1197622608112,0.5194372431961536,-2.213782430528557,18-08-2023 19:42:44
15676,17,1,1,25.066300000000002,NOT-SET,156.51469020455286,187.79598715509843,123.89013142820326,145.63337351603747,0.4362320130935585,-2.2098335648769827,18-08-2023 19:42:44
15676,18,1,1,25.0651,NOT-SET,154.35267669616903,191.6575958874613,124.25199375484722,146.93708609271522,0.4023015651127363,-2.2090711353144212,18-08-2023 19:42:44
15676,19,1,1,25.067600000000002,NOT-SET,162.03339685069557,185.74005690006547,124.51600308285387,146.04203543198952,0.48587958315336555,-2.179670560577677,18-08-2023 19:42:44
15676,20,1,1,25.0626,NOT-SET,160.9679922558425,188.1171096936959,125.28768539388982,146.485030671102,0.461508288144611,-2.0773004849456056,18-08-2023 19:42:44
15676,21,1,1,25.0648,NOT-SET,157.40829959437818,194.06075896142121,126.29721831052439,148.248428296762,0.4044422952101671,-2.0080081550781057,18-08-2023 19:42:44
15676,22,1,1,25.0702,NOT-SET,163.4866265491144,179.80895413068026,121.91950767346744,143.17043443098237,0.5315105104039317,-2.246320305649769,18-08-2023 19:42:44
15676,23,1,1,25.061,NOT-SET,161.56533207052996,179.76521093376465,122.27943231697007,142.4742309335612,0.5130256009370661,-2.2193877193519147,18-08-2023 19:42:44
15676,24,1,1,25.0701,NOT-SET,164.5115684010667,179.5976982261964,121.77418143786747,143.37881862849818,0.541279227409223,-1.9707224456154606,18-08-2023 19:42:44
15676,25,1,1,25.0688,NOT-SET,165.68361632678537,182.76484132070544,124.42541639599656,145.5351420636616,0.525663195953966,-2.183386245225636,18-08-2023 19:42:44
15676,26,1,1,25.066000000000003,NOT-SET,158.96782971906168,192.61994621960443,125.4737029754578,148.06197927793204,0.4291252823871681,-2.219312305031603,18-08-2023 19:42:44
15676,27,1,1,25.070600000000002,NOT-SET,162.59576039609598,180.33353339911767,122.83796948245934,144.03639713736382,0.5227510220600314,-2.180376112225351,18-08-2023 19:42:44
15676,28,1,1,25.0636,NOT-SET,154.94487294184373,189.09912750972353,122.63790369811672,145.1150357066561,0.42346991640227644,-2.1359634797788423,18-08-2023 19:42:44
15676,29,1,1,25.0664,NOT-SET,157.80023955315417,187.14526471416025,123.234225684862,145.59617908261362,0.4541282097169876,-2.2291591471281085,18-08-2023 19:42:44
15676,30,1,1,25.0671,NOT-SET,159.9577953017269,188.04318708185403,125.68491043786311,146.88701666310618,0.4543724528360171,-2.1569509239762215,18-08-2023 19:42:44
15676,31,1,1,25.0624,NOT-SET,156.98618403072697,185.9811531249258,122.59188372351007,143.9209990234077,0.44986653260699105,-2.363732992698232,18-08-2023 19:42:44
15676,32,1,1,25.069000000000003,NOT-SET,163.24590751931498,181.59971244782184,124.29946699180991,144.94384594256417,0.5151488368023925,-2.1781168498967913,18-08-2023 19:42:44
